Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterSparkMasterIntegrationTest,openFile,Long Statement,The length of the statement "final SplitCompressionInputStream cIn=((SplittableCompressionCodec)codec).createInputStream(fileIn`decompressor`0`end`SplittableCompressionCodec.READ_MODE.CONTINUOUS);" is 167.,227
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounter,jobTotalNumOfTransactions,Long Statement,The length of the statement "JavaPairRDD<BytesWritable`BitcoinBlockWritable> bitcoinBlocksRDD=sc.newAPIHadoopFile(inputFile`BitcoinBlockFileInputFormat.class`BytesWritable.class`BitcoinBlockWritable.class`hadoopConf);" is 188.,64
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounter,jobTotalNumOfTransactions,Long Statement,The length of the statement "JavaPairRDD<String`Long> noOfTransactionPair=bitcoinBlocksRDD.mapToPair(new PairFunction<Tuple2<BytesWritable`BitcoinBlockWritable>`String`Long>(){" is 147.,64
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterTest,reduceSumUpTransactions,Long Statement,The length of the statement "assertEquals((long)3`(long)sparkTransformator.reduceSumUpTransactions(transactionCountA`transactionCountB)`"Transaction count should sum up to 3");" is 147.,69
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterTest,reduceSumUpTransactions,Magic Number,The method contains a magic number: 2,69
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterTest,reduceSumUpTransactions,Magic Number,The method contains a magic number: 3,69
hadoopcryptoledger,org.zuinnote.flink.bitcoin,AbstractBitcoinFlinkInputFormat,AbstractBitcoinFlinkInputFormat,Long Statement,The length of the statement "this(AbstractBitcoinRecordReader.DEFAULT_MAXSIZE_BITCOINBLOCK`AbstractBitcoinRecordReader.DEFAULT_MAGIC`AbstractBitcoinRecordReader.DEFAULT_USEDIRECTBUFFER);" is 157.,48
hadoopcryptoledger,org.zuinnote.flink.bitcoin,AbstractBitcoinFlinkInputFormat,AbstractBitcoinFlinkInputFormat,Long Statement,The length of the statement "throw new HadoopCryptoLedgerConfigurationException("Error: Configuration. Magic number has not a length of 4 bytes. Index: " + i);" is 130.,56
hadoopcryptoledger,org.zuinnote.flink.bitcoin,AbstractBitcoinFlinkInputFormat,AbstractBitcoinFlinkInputFormat,Magic Number,The method contains a magic number: 4,56
hadoopcryptoledger,org.zuinnote.flink.bitcoin,AbstractBitcoinFlinkInputFormat,AbstractBitcoinFlinkInputFormat,Magic Number,The method contains a magic number: 4,56
hadoopcryptoledger,org.zuinnote.flink.bitcoin,AbstractBitcoinFlinkInputFormat,open,Long Statement,The length of the statement "bbr=new BitcoinBlockReader(this.stream`this.maxSizeBitcoinBlock`1`this.specificMagicArray`this.useDirectBuffer`this.readAuxPOW);" is 128.,81
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinBlockFlinkInputFormat,nextRecord,Long Statement,The length of the statement "if ((this.currentSplit.getLength() < 0) || (this.stream.getPos() <= this.currentSplit.getStart() + this.currentSplit.getLength())) {" is 132.,93
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinRawBlockFlinkInputFormat,nextRecord,Long Statement,The length of the statement "if ((this.currentSplit.getLength() < 0) || (this.stream.getPos() <= this.currentSplit.getStart() + this.currentSplit.getLength())) {" is 132.,95
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinTransactionFlinkInputFormat,getCurrentState,Long Identifier,The length of the field currentTransactionCounterInBlock is 32.,76
