Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.exception,HadoopCryptoLedgerConfigurationException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.mapred,AbstractBitcoinFileInputFormat,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CONF_ISSPLITABLE; DEFAULT_ISSPLITABLE; isSplitable; compressionCodecs
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.mapred,AbstractBitcoinRecordReader,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CONF_BUFFERSIZE; CONF_MAXBLOCKSIZE; CONF_FILTERMAGIC; CONF_USEDIRECTBUFFER; CONF_READAUXPOW; DEFAULT_BUFFERSIZE; DEFAULT_MAXSIZE_BITCOINBLOCK; DEFAULT_MAGIC; DEFAULT_USEDIRECTBUFFER; DEFAULT_READAUXPOW; LOG; bufferSize; maxSizeBitcoinBlock; useDirectBuffer; readAuxPOW; specificMagic; specificMagicStringArray; specificMagicByteArray; codec; decompressor; reporter; conf; start; end; filePosition; fileIn; bbr
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.mapred,BitcoinBlockRecordReader,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractBitcoinRecordReader
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.mapred,BitcoinRawBlockRecordReader,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractBitcoinRecordReader
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.mapred,BitcoinTransactionRecordReader,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractBitcoinRecordReader
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.mapred,BitcoinFormatHadoopTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 40 public methods
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.mapreduce,AbstractBitcoinFileInputFormat,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CONF_ISSPLITABLE; DEFAULT_ISSPLITABLE
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.mapreduce,AbstractBitcoinRecordReader,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CONF_BUFFERSIZE; CONF_MAXBLOCKSIZE; CONF_FILTERMAGIC; CONF_USEDIRECTBUFFER; CONF_READAUXPOW; DEFAULT_BUFFERSIZE; DEFAULT_MAXSIZE_BITCOINBLOCK; DEFAULT_MAGIC; DEFAULT_USEDIRECTBUFFER; DEFAULT_READAUXPOW; LOG; bufferSize; maxSizeBitcoinBlock; useDirectBuffer; readAuxPOW; specificMagic; specificMagicStringArray; specificMagicByteArray; codec; decompressor; start; end; filePosition; bbr
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.mapreduce,BitcoinBlockRecordReader,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractBitcoinRecordReader
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.mapreduce,BitcoinRawBlockRecordReader,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractBitcoinRecordReader
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.mapreduce,BitcoinTransactionRecordReader,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractBitcoinRecordReader
hadoopcryptoledger,org.zuinnote.hadoop.bitcoin.format.mapreduce,BitcoinFormatHadoopTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 40 public methods
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.common,EthereumBlockHeader,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 38 public methods
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.common,EthereumBlockWritable,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): EthereumBlock
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.common,EthereumTransaction,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: EthereumUtil; EthereumTransaction
