Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockIntegrationTest,oneTimeSetUp,39,2,0,83
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockIntegrationTest,run,21,2,0,91
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockIntegrationTest,visitFile,4,1,2,96
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockIntegrationTest,postVisitDirectory,7,2,2,103
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockIntegrationTest,oneTimeTearDown,4,1,0,133
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockIntegrationTest,setUp,3,1,0,141
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockIntegrationTest,tearDown,9,3,0,147
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockIntegrationTest,checkTestDataBlock1346406Available,9,1,0,161
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockIntegrationTest,mapReduceBlock1346406,12,1,0,172
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockIntegrationTest,readDefaultResults,16,3,1,197
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockIntegrationTest,openFile,19,3,1,233
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockTest,oneTimeSetUp,2,1,0,51
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockTest,oneTimeTearDown,2,1,0,56
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockTest,setUp,2,1,0,61
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockTest,tearDown,2,1,0,65
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockTest,map,15,1,1,69
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example,MapReduceEthereumBlockTest,reduce,18,1,1,82
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example.driver,EthereumBlockCounterDriver,EthereumBlockCounterDriver,2,1,0,43
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example.driver,EthereumBlockCounterDriver,run,16,1,1,47
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example.driver,EthereumBlockCounterDriver,main,6,1,1,67
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example.tasks,EthereumBlockMap,setup,2,1,1,40
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example.tasks,EthereumBlockMap,map,3,1,3,45
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example.tasks,EthereumBlockMap,cleanup,2,1,1,51
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.example.tasks,EthereumBlockReducer,reduce,8,2,3,36
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounterSparkMasterIntegrationTest,oneTimeSetUp,35,2,0,83
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounterSparkMasterIntegrationTest,run,21,2,0,90
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounterSparkMasterIntegrationTest,visitFile,4,1,2,95
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounterSparkMasterIntegrationTest,postVisitDirectory,7,2,2,102
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounterSparkMasterIntegrationTest,oneTimeTearDown,6,2,0,129
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounterSparkMasterIntegrationTest,setUp,3,1,0,139
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounterSparkMasterIntegrationTest,tearDown,9,3,0,145
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounterSparkMasterIntegrationTest,checkTestDataGenesisBlockAvailable,9,1,0,158
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounterSparkMasterIntegrationTest,application,13,1,0,169
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounterSparkMasterIntegrationTest,readDefaultResults,16,3,1,191
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounterSparkMasterIntegrationTest,openFile,19,3,1,227
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounter,SparkBitcoinBlockCounter,3,1,0,49
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounter,main,8,1,1,55
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounter,jobTotalNumOfTransactions,16,1,4,68
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounter,call,3,1,1,85
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounter,call,3,1,2,92
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounter,mapNoOfTransaction,3,1,1,101
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounter,reduceSumUpTransactions,3,1,2,113
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounterTest,oneTimeSetUp,2,1,0,41
hadoopcryptoledger,org.zuinnote.spark.bitcoin.example,SparkBitcoinBlockCounterTest,oneTimeTearDown,2,1,0,46
