deployment_project_reference,deployment_guid,latitude,longitude,time,recovery_datetime_utc,array_name,bottom_depth,depth,deployment_comments,datacenter_reference
ALSEA,nepALSEAUpper Alsea-001-VR2-6081C-5682,44.37369792,-123.7283866,2010-03-24T15:11:52Z,2010-06-10T14:39:53Z,ALSEA,1.8,1.8,Null,nep
BOOMBARI,nepBOOMBARIBOOMBARI-001-VR2W-110131-2015-06-01T00,23.485583,-109.4046,2015-06-01T03:00:00Z,2016-02-29T03:59:59Z,BOOMBARI,0,5,CICESE oceanographic buoy,nep
BOOONC,nepBOOONCBOOONC-AS04-4-VR2W-125223-2014,48.300556,-123.390944,2014-10-10T01:26:28Z,2015-04-09T22:51:36Z,BOOONC,121,112,Null,nep
BOOONC,nepBOOONCBOOONC-AS04-5-VR2W-125223-2015,48.30088889,-123.3914444,2015-04-10T00:13:14Z,2015-10-13T21:03:09Z,BOOONC,118,112,Null,nep
BOOONC,nepBOOONCBOOONC-AS04-6-VR2W-125223-2015,48.30095,-123.3909167,2015-10-13T22:30:35Z,2016-04-15T19:06:47Z,BOOONC,121,111,Null,nep
BOOONC,nepBOOONCBOOONC-AS04-8-VR2W-106591-2016,48.3009667,-123.3907333,2016-10-28T00:38:27Z,2017-04-19T23:18:00Z,BOOONC,341,114,Null,nep
BOOONC,nepBOOONCBOOONC-AS04-9-VR2W-128352-2017,48.30061667,-123.3911333,2017-04-20T01:02:50Z,,BOOONC,119,0,Null,nep
BOOONC,nepBOOONCBOOONC-AS04-VR2W-106591-5,48.30083333,-123.39075,2016-04-15T20:14:44Z,2016-10-27T23:30:00Z,BOOONC,119,114,Null,nep
BOOONC,nepBOOONCBOOONC-BCH-1-VR2W-112524-2016,48.3332,-125.875583,2016-05-15T04:52:00Z,2017-05-16T22:50:03Z,BOOONC,408,380,Null,nep
BOOONC,nepBOOONCBOOONC-BCH-2-VR2W-125024-2017,48.3332,-125.875583,2017-06-15T07:21:50Z,,BOOONC,415,0,Null,nep
BOOONC,nepBOOONCBOOONC-BNDYP-10-VR2W-128571-2017,48.76633333,-123.03925,2017-04-18T22:42:35Z,,BOOONC,233,0,Null,nep
BOOONC,nepBOOONCBOOONC-BNDYP-3-112450,48.76653,-123.03913,2013-10-11T20:31:00Z,2014-04-11T19:44:38Z,BOOONC,224,219,Null,nep
BOOONC,nepBOOONCBOOONC-BNDYP-6-VR2W-125222-2015,48.76622222,-123.0391944,2015-04-09T19:21:05Z,2015-10-08T22:36:12Z,BOOONC,234,229,Null,nep
BOOONC,nepBOOONCBOOONC-BNDYP-7-VR2W-125222-2015,48.76641667,-123.0387833,2015-10-09T00:13:13Z,2016-04-14T19:44:05Z,BOOONC,231,220,Null,nep
