datacenter_reference,deployment_id,deployment_guid,receiver_manufacturer,receiver_model,receiver_serial_number,receiver_reference_type,receiver_reference_id
OTN-Global,IUI-002-VR2W-301557-1,OTN-GlobalV2LLIONFSIUI-002-VR2W-301557-1,VEMCO,VR2W,301557,ManmadePlatform,V2LLIONFS_IUI002
OTN-Global,IUI-003-VR2W-301558-1,OTN-GlobalV2LLIONFSIUI-003-VR2W-301558-1,VEMCO,VR2W,301558,ManmadePlatform,V2LLIONFS_IUI003
OTN-Global,IUI-004-VR2W-301559-1,OTN-GlobalV2LLIONFSIUI-004-VR2W-301559-1,VEMCO,VR2W,301559,ManmadePlatform,V2LLIONFS_IUI004
OTN-Global,IUI-005-VR2W-301560-1,OTN-GlobalV2LLIONFSIUI-005-VR2W-301560-1,VEMCO,VR2W,301560,ManmadePlatform,V2LLIONFS_IUI005
OTN-Global,IUI-006-VR2W-301561-1,OTN-GlobalV2LLIONFSIUI-006-VR2W-301561-1,VEMCO,VR2W,301561,ManmadePlatform,V2LLIONFS_IUI006
OTN-Global,IUI-007-VR2W-301562-1,OTN-GlobalV2LLIONFSIUI-007-VR2W-301562-1,VEMCO,VR2W,301562,ManmadePlatform,V2LLIONFS_IUI007
OTN-Global,IUI-008-VR2W-301563-1,OTN-GlobalV2LLIONFSIUI-008-VR2W-301563-1,VEMCO,VR2W,301563,ManmadePlatform,V2LLIONFS_IUI008
OTN-Global,MAL01-108616,OTN-GlobalV2LMALMAL01-108616,VEMCO,VR2W,108616,ManmadePlatform,V2LMAL_MAL01
OTN-Global,MAL01-A-108840,OTN-GlobalV2LMALMAL01-A-108840,VEMCO,VR2W,108840,ManmadePlatform,V2LMAL_MAL01-A
OTN-Global,MAL02-108617,OTN-GlobalV2LMALMAL02-108617,VEMCO,VR2W,108617,ManmadePlatform,V2LMAL_MAL02
OTN-Global,MAL02-A-108827,OTN-GlobalV2LMALMAL02-A-108827,VEMCO,VR2W,108827,ManmadePlatform,V2LMAL_MAL02-A
