animal_guid,length,length_type,weight,life_stage,age,sex
OTN-GlobalMCSMCS-50950,0.76,FORK,Null,ADULT,Null,F
OTN-GlobalMCSMCS-50951,0.825,FORK,Null,ADULT,Null,F
OTN-GlobalMCSMCS-50953,0.725,FORK,Null,ADULT,Null,F
OTN-GlobalMCSMCS-50954,0.69,FORK,Null,ADULT,Null,F
OTN-GlobalMCSMCS-50925,0.79,FORK,Null,ADULT,Null,M
OTN-GlobalMCSMCS-50926,0.84,FORK,Null,ADULT,Null,M
OTN-GlobalMCSMCS-50927,0.8,FORK,Null,ADULT,Null,M
OTN-GlobalNSBSNSBS-ALI,1.5748,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1248829-2017-08-22-11270,1.04,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1248828-2017-08-27-11268,1.37,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1248827-2017-08-22-11266,1.77,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1248826-2017-08-25-11264,1.52,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1248825-2017-08-22-11262,1.68,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1248829-2017-08-22-11269,1.04,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1248828-2017-08-27-11267,1.37,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1248827-2017-08-22-11265,1.77,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1248826-2017-08-25-11263,1.52,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-1248825-2017-08-22-11261,1.68,FORK,Null,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Eva,1.6,FORK,32.65,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Percy,1.38,FORK,19.5,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Riley,1.58,FORK,29.71,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Meeko,1.3,FORK,16.85,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Sophie,1.53,FORK,25.29,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Brandy,1.4,FORK,22.81,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Lucy,1.62,FORK,27.6,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Xena,1.64,FORK,40.46,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Leia,1.37,FORK,21,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Hayley,1.51,FORK,25,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Blueberry,1.52,FORK,25.12,JUVENILE,Null,F
OTN-GlobalNSBSNSBS-Finnigan,1.43,FORK,21.9,JUVENILE,Null,F
