animal_guid,length,length_type,weight,life_stage,age,sex
nepMACFLMACFL-14393,0.156,FORK,0.046,Null,Null,U
nepMACFLMACFL-14394,0.149,FORK,0.0379,Null,Null,U
nepMACFLMACFL-14395,0.143,FORK,0.0328,Null,Null,U
nepMACFLMACFL-14396,0.147,FORK,0.0381,Null,Null,U
nepMACFLMACFL-14397,0.158,FORK,0.0471,Null,Null,U
nepMACFLMACFL-14398,0.151,FORK,0.0408,Null,Null,U
nepMACFLMACFL-14399,0.14,FORK,0.0331,Null,Null,U
nepMACFLMACFL-14400,0.142,FORK,0.031,Null,Null,U
nepMACFLMACFL-14401,0.146,FORK,0.038,Null,Null,U
nepMACFLMACFL-14402,0.147,FORK,0.0389,Null,Null,U
nepMACFLMACFL-14403,0.144,FORK,0.0324,Null,Null,U
nepMACFLMACFL-14404,0.139,FORK,0.0315,Null,Null,U
nepMACFLMACFL-14405,0.158,FORK,0.0468,Null,Null,U
nepMACFLMACFL-14406,0.164,FORK,0.0535,Null,Null,U
nepMACFLMACFL-14407,0.152,FORK,0.0397,Null,Null,U
nepMACFLMACFL-14408,0.153,FORK,0.039,Null,Null,U
nepMACFLMACFL-14409,0.167,FORK,0.0544,Null,Null,U
nepMACFLMACFL-14410,0.147,FORK,0.0345,Null,Null,U
nepMACFLMACFL-14411,0.145,FORK,0.0341,Null,Null,U
nepMACFLMACFL-14412,0.161,FORK,0.0476,Null,Null,U
nepMACFLMACFL-14413,0.142,FORK,0.0314,Null,Null,U
nepMACFLMACFL-14414,0.149,FORK,0.0382,Null,Null,U
nepMACFLMACFL-14415,0.142,FORK,0.0305,Null,Null,U
nepMACFLMACFL-14416,0.142,FORK,0.0333,Null,Null,U
nepMACFLMACFL-14417,0.15,FORK,0.0392,Null,Null,U
nepMACFLMACFL-14418,0.146,FORK,0.0347,Null,Null,U
nepMACFLMACFL-14419,0.142,FORK,0.0317,Null,Null,U
nepMACFLMACFL-14420,0.153,FORK,0.0405,Null,Null,U
nepMACFLMACFL-14421,0.157,FORK,0.0445,Null,Null,U
nepMACFLMACFL-14422,0.153,FORK,0.039,Null,Null,U
nepMACFLMACFL-14423,0.15,FORK,0.0365,Null,Null,U
nepMACFLMACFL-14424,0.15,FORK,0.0395,Null,Null,U
nepMACFLMACFL-14425,0.145,FORK,0.0311,Null,Null,U
nepMACFLMACFL-14426,0.147,FORK,0.0365,Null,Null,U
nepMACFLMACFL-14427,0.153,FORK,0.0381,Null,Null,U
nepMACFLMACFL-14428,0.166,FORK,0.0541,Null,Null,U
nepMACFLMACFL-14429,0.143,FORK,0.033,Null,Null,U
nepMACFLMACFL-14430,0.174,FORK,0.0639,Null,Null,U
nepMACFLMACFL-14431,0.159,FORK,0.0419,Null,Null,U
nepMACFLMACFL-14432,0.164,FORK,0.047,Null,Null,U
nepMACFLMACFL-14433,0.15,FORK,0.0351,Null,Null,U
nepMACFLMACFL-14434,0.158,FORK,0.0408,Null,Null,U
nepMACFLMACFL-14435,0.169,FORK,0.0519,Null,Null,U
nepMACFLMACFL-14436,0.144,FORK,0.0325,Null,Null,U
nepMACFLMACFL-14437,0.163,FORK,0.0454,Null,Null,U
nepMACFLMACFL-14438,0.152,FORK,0.0325,Null,Null,U
nepMACFLMACFL-14439,0.16,FORK,0.0446,Null,Null,U
nepMACFLMACFL-14440,0.145,FORK,0.032,Null,Null,U
nepMACFLMACFL-14441,0.15,FORK,0.0364,Null,Null,U
nepMACFLMACFL-14442,0.169,FORK,0.0494,Null,Null,U
nepMACFLMACFL-14443,0.164,FORK,0.0433,Null,Null,U
nepMACFLMACFL-14444,0.148,FORK,0.0309,Null,Null,U
nepMACFLMACFL-14445,0.142,FORK,0.0283,Null,Null,U
nepMACFLMACFL-14446,0.154,FORK,0.0377,Null,Null,U
nepMACFLMACFL-14447,0.15,FORK,0.0347,Null,Null,U
nepMACFLMACFL-14448,0.158,FORK,0.0432,Null,Null,U
nepMACFLMACFL-14449,0.159,FORK,0.0395,Null,Null,U
nepMACFLMACFL-14450,0.144,FORK,0.0294,Null,Null,U
nepMACFLMACFL-14451,0.15,FORK,0.0322,Null,Null,U
nepMACFLMACFL-14452,0.16,FORK,0.0425,Null,Null,U
nepMACFLMACFL-14453,0.145,FORK,0.0286,Null,Null,U
nepMACFLMACFL-14454,0.148,FORK,0.0335,Null,Null,U
nepMACFLMACFL-14455,0.15,FORK,0.0326,Null,Null,U
nepMACFLMACFL-14456,0.163,FORK,0.0441,Null,Null,U
nepMACFLMACFL-14457,0.16,FORK,0.0476,Null,Null,U
nepMACFLMACFL-14458,0.158,FORK,0.0407,Null,Null,U
nepMACFLMACFL-14459,0.149,FORK,0.0352,Null,Null,U
nepMACFLMACFL-14460,0.142,FORK,0.0322,Null,Null,U
nepMACFLMACFL-14461,0.141,FORK,0.0307,Null,Null,U
nepMACFLMACFL-14462,0.162,FORK,0.0468,Null,Null,U
nepMACFLMACFL-14463,0.159,FORK,0.0444,Null,Null,U
nepMACFLMACFL-14464,0.151,FORK,0.0323,Null,Null,U
nepMACFLMACFL-14465,0.165,FORK,0.0475,Null,Null,U
nepMACFLMACFL-14466,0.172,FORK,0.0547,Null,Null,U
nepMACFLMACFL-14467,0.147,FORK,0.0364,Null,Null,U
nepMACFLMACFL-14468,0.152,FORK,0.0361,Null,Null,U
nepMACFLMACFL-14469,0.145,FORK,0.0317,Null,Null,U
nepMACFLMACFL-14470,0.146,FORK,0.0334,Null,Null,U
nepMACFLMACFL-14471,0.153,FORK,0.0374,Null,Null,U
nepMACFLMACFL-14472,0.148,FORK,0.0366,Null,Null,U
nepMACFLMACFL-14473,0.161,FORK,0.0434,Null,Null,U
nepMACFLMACFL-14474,0.14,FORK,0.0303,Null,Null,U
nepMACFLMACFL-14475,0.141,FORK,0.0304,Null,Null,U
nepMACFLMACFL-14476,0.157,FORK,0.0394,Null,Null,U
nepMACFLMACFL-14477,0.147,FORK,0.0324,Null,Null,U
nepMACFLMACFL-14478,0.149,FORK,0.0361,Null,Null,U
nepMACFLMACFL-14479,0.152,FORK,0.0387,Null,Null,U
nepMACFLMACFL-14480,0.145,FORK,0.0336,Null,Null,U
nepMACFLMACFL-14481,0.16,FORK,0.0432,Null,Null,U
nepMACFLMACFL-14482,0.152,FORK,0.0386,Null,Null,U
nepMACFLMACFL-14483,0.145,FORK,0.0294,Null,Null,U
nepMACFLMACFL-14484,0.147,FORK,0.0325,Null,Null,U
nepMACFLMACFL-14485,0.14,FORK,0.0295,Null,Null,U
nepMACFLMACFL-14486,0.15,FORK,0.0384,Null,Null,U
nepMACFLMACFL-14487,0.171,FORK,0.055,Null,Null,U
nepMACFLMACFL-14488,0.149,FORK,0.0378,Null,Null,U
nepMACFLMACFL-14489,0.147,FORK,0.0369,Null,Null,U
nepMACFLMACFL-14490,0.14,FORK,0.0283,Null,Null,U
nepMACFLMACFL-14491,0.174,FORK,0.0558,Null,Null,U
nepMACFLMACFL-14492,0.142,FORK,0.0273,Null,Null,U
nepMACFLMACFL-14493,0.153,FORK,0.0363,Null,Null,U
nepMACFLMACFL-14494,0.156,FORK,0.0423,Null,Null,U
nepMACFLMACFL-14495,0.168,FORK,0.0476,Null,Null,U
nepMACFLMACFL-14496,0.162,FORK,0.0487,Null,Null,U
nepMACFLMACFL-14497,0.159,FORK,0.0411,Null,Null,U
nepMACFLMACFL-14498,0.164,FORK,0.0436,Null,Null,U
nepMACFLMACFL-14499,0.15,FORK,0.0353,Null,Null,U
nepMACFLMACFL-14500,0.175,FORK,0.0578,Null,Null,U
nepMACFLMACFL-14501,0.154,FORK,0.0422,Null,Null,U
nepMACFLMACFL-14502,0.158,FORK,0.0422,Null,Null,U
nepMACFLMACFL-14503,0.141,FORK,0.0297,Null,Null,U
nepMACFLMACFL-14504,0.162,FORK,0.0469,Null,Null,U
nepMACFLMACFL-14505,0.158,FORK,0.0403,Null,Null,U
nepMACFLMACFL-14506,0.165,FORK,0.0477,Null,Null,U
nepMACFLMACFL-14507,0.165,FORK,0.0512,Null,Null,U
nepMACFLMACFL-14508,0.164,FORK,0.0435,Null,Null,U
nepMACFLMACFL-14509,0.146,FORK,0.0326,Null,Null,U
nepMACFLMACFL-14510,0.142,FORK,0.031,Null,Null,U
nepMACFLMACFL-14511,0.142,FORK,0.0293,Null,Null,U
nepMACFLMACFL-14512,0.149,FORK,0.0335,Null,Null,U
nepMACFLMACFL-14513,0.159,FORK,0.0425,Null,Null,U
nepMACFLMACFL-14514,0.164,FORK,0.0509,Null,Null,U
nepMACFLMACFL-14515,0.141,FORK,0.0294,Null,Null,U
nepMACFLMACFL-14516,0.153,FORK,0.0366,Null,Null,U
nepMACFLMACFL-14517,0.144,FORK,0.0299,Null,Null,U
nepMACFLMACFL-14518,0.147,FORK,0.0348,Null,Null,U
nepMACFLMACFL-14519,0.148,FORK,0.0318,Null,Null,U
nepMACFLMACFL-14520,0.15,FORK,0.0342,Null,Null,U
nepMACFLMACFL-14521,0.173,FORK,0.0602,Null,Null,U
nepMACFLMACFL-14522,0.165,FORK,0.0497,Null,Null,U
nepMACFLMACFL-14523,0.166,FORK,0.0475,Null,Null,U
nepMACFLMACFL-14524,0.152,FORK,0.0427,Null,Null,U
nepMACFLMACFL-14525,0.163,FORK,0.0487,Null,Null,U
nepMACFLMACFL-14526,0.148,FORK,0.0331,Null,Null,U
nepMACFLMACFL-14527,0.142,FORK,0.0283,Null,Null,U
nepMACFLMACFL-14528,0.16,FORK,0.0458,Null,Null,U
nepMACFLMACFL-14529,0.15,FORK,0.0383,Null,Null,U
nepMACFLMACFL-14530,0.151,FORK,0.0357,Null,Null,U
nepMACFLMACFL-14531,0.145,FORK,0.0317,Null,Null,U
nepMACFLMACFL-14532,0.149,FORK,0.0341,Null,Null,U
nepMACFLMACFL-14533,0.14,FORK,0.0277,Null,Null,U
nepMACFLMACFL-14534,0.159,FORK,0.0423,Null,Null,U
nepMACFLMACFL-14535,0.141,FORK,0.0284,Null,Null,U
nepMACFLMACFL-14536,0.155,FORK,0.0355,Null,Null,U
nepMACFLMACFL-14537,0.142,FORK,0.0286,Null,Null,U
nepMACFLMACFL-14538,0.159,FORK,0.0384,Null,Null,U
nepMACFLMACFL-14539,0.175,FORK,0.0636,Null,Null,U
nepMACFLMACFL-14540,0.14,FORK,0.0279,Null,Null,U
nepMACFLMACFL-14541,0.155,FORK,0.0374,Null,Null,U
nepMACFLMACFL-14542,0.146,FORK,0.0301,Null,Null,U
nepMACFLMACFL-14543,0.15,FORK,0.0344,Null,Null,U
nepMACFLMACFL-14544,0.164,FORK,0.0462,Null,Null,U
nepMACFLMACFL-14545,0.148,FORK,0.0339,Null,Null,U
nepMACFLMACFL-14546,0.149,FORK,0.0337,Null,Null,U
nepMACFLMACFL-14547,0.15,FORK,0.0342,Null,Null,U
nepMACFLMACFL-14548,0.15,FORK,0.0359,Null,Null,U
nepMACFLMACFL-14549,0.146,FORK,0.0309,Null,Null,U
nepMACFLMACFL-14550,0.148,FORK,0.0309,Null,Null,U
nepMACFLMACFL-14551,0.145,FORK,0.0292,Null,Null,U
nepMACFLMACFL-14552,0.151,FORK,0.0362,Null,Null,U
nepMACFLMACFL-14553,0.174,FORK,0.0526,Null,Null,U
nepMACFLMACFL-14554,0.159,FORK,0.0415,Null,Null,U
nepMACFLMACFL-14555,0.155,FORK,0.0385,Null,Null,U
nepMACFLMACFL-14556,0.154,FORK,0.0386,Null,Null,U
nepMACFLMACFL-14557,0.145,FORK,0.0314,Null,Null,U
nepMACFLMACFL-14558,0.145,FORK,0.0303,Null,Null,U
nepMACFLMACFL-14559,0.146,FORK,0.0337,Null,Null,U
nepMACFLMACFL-14560,0.148,FORK,0.0335,Null,Null,U
nepMACFLMACFL-14561,0.141,FORK,0.0308,Null,Null,U
nepMACFLMACFL-14562,0.142,FORK,0.0309,Null,Null,U
nepMACFLMACFL-14563,0.149,FORK,0.0357,Null,Null,U
nepMACFLMACFL-14564,0.167,FORK,0.051,Null,Null,U
nepMACFLMACFL-14565,0.142,FORK,0.0307,Null,Null,U
nepMACFLMACFL-14566,0.154,FORK,0.037,Null,Null,U
nepMACFLMACFL-14567,0.151,FORK,0.0352,Null,Null,U
nepMACFLMACFL-14568,0.144,FORK,0.0304,Null,Null,U
nepMACFLMACFL-14569,0.141,FORK,0.0284,Null,Null,U
nepMACFLMACFL-14570,0.158,FORK,0.0447,Null,Null,U
nepMACFLMACFL-14571,0.144,FORK,0.0318,Null,Null,U
nepMACFLMACFL-14572,0.14,FORK,0.0292,Null,Null,U
nepMACFLMACFL-14573,0.164,FORK,0.0473,Null,Null,U
nepMACFLMACFL-14574,0.151,FORK,0.0369,Null,Null,U
nepMACFLMACFL-14575,0.156,FORK,0.0401,Null,Null,U
nepMACFLMACFL-14576,0.152,FORK,0.0376,Null,Null,U
nepMACFLMACFL-14577,0.144,FORK,0.0305,Null,Null,U
nepMACFLMACFL-14578,0.15,FORK,0.0395,Null,Null,U
nepMACFLMACFL-14579,0.153,FORK,0.039,Null,Null,U
nepMACFLMACFL-14580,0.148,FORK,0.0353,Null,Null,U
nepMACFLMACFL-14581,0.142,FORK,0.0292,Null,Null,U
nepMACFLMACFL-14582,0.163,FORK,0.0512,Null,Null,U
nepMACFLMACFL-14583,0.163,FORK,0.04958,Null,Null,U
nepMACFLMACFL-14584,0.184,FORK,0.08515,Null,Null,U
nepMACFLMACFL-14585,0.17,FORK,0.0594,Null,Null,U
nepMACFLMACFL-14586,0.156,FORK,0.0492,Null,Null,U
nepMACFLMACFL-14587,0.148,FORK,0.04133,Null,Null,U
nepMACFLMACFL-14588,0.175,FORK,0.0653,Null,Null,U
nepMACFLMACFL-14589,0.154,FORK,0.0446,Null,Null,U
nepMACFLMACFL-14590,0.164,FORK,0.05879,Null,Null,U
nepMACFLMACFL-14591,0.167,FORK,0.0615,Null,Null,U
nepMACFLMACFL-14592,0.149,FORK,0.04332,Null,Null,U
nepMACFLMACFL-14593,0.156,FORK,0.04839,Null,Null,U
nepMACFLMACFL-14594,0.166,FORK,0.06021,Null,Null,U
nepMACFLMACFL-14595,0.161,FORK,0.05515,Null,Null,U
nepMACFLMACFL-14596,0.19,FORK,0.083,Null,Null,U
nepMACFLMACFL-14597,0.165,FORK,0.051,Null,Null,U
nepMACFLMACFL-14598,0.174,FORK,0.07134,Null,Null,U
nepMACFLMACFL-14599,0.162,FORK,0.05214,Null,Null,U
nepMACFLMACFL-14600,0.17,FORK,0.0613,Null,Null,U
nepMACFLMACFL-14601,0.163,FORK,0.0481,Null,Null,U
nepMACFLMACFL-14602,0.178,FORK,0.07,Null,Null,U
nepMACFLMACFL-14603,0.175,FORK,0.07127,Null,Null,U
nepMACFLMACFL-14604,0.197,FORK,0.0936,Null,Null,U
nepMACFLMACFL-14605,0.182,FORK,0.0765,Null,Null,U
nepMACFLMACFL-14606,0.17,FORK,0.0606,Null,Null,U
nepMACFLMACFL-14607,0.204,FORK,0.11,Null,Null,U
nepMACFLMACFL-14608,0.173,FORK,0.06604,Null,Null,U
nepMACFLMACFL-14609,0.172,FORK,0.05829,Null,Null,U
nepMACFLMACFL-14610,0.163,FORK,0.05195,Null,Null,U
nepMACFLMACFL-14611,0.166,FORK,0.05304,Null,Null,U
nepMACFLMACFL-14612,0.181,FORK,0.074,Null,Null,U
nepMACFLMACFL-14613,0.183,FORK,0.0738,Null,Null,U
nepMACFLMACFL-14614,0.176,FORK,0.07162,Null,Null,U
nepMACFLMACFL-14615,0.157,FORK,0.0477,Null,Null,U
nepMACFLMACFL-14616,0.169,FORK,0.0603,Null,Null,U
nepMACFLMACFL-14617,0.175,FORK,0.0619,Null,Null,U
nepMACFLMACFL-14618,0.164,FORK,0.0496,Null,Null,U
nepMACFLMACFL-14619,0.152,FORK,0.0399,Null,Null,U
nepMACFLMACFL-14620,0.18,FORK,0.0675,Null,Null,U
nepMACFLMACFL-14621,0.175,FORK,0.06539,Null,Null,U
nepMACFLMACFL-14622,0.155,FORK,0.0451,Null,Null,U
nepMACFLMACFL-14623,0.162,FORK,0.04806,Null,Null,U
nepMACFLMACFL-14624,0.158,FORK,0.0486,Null,Null,U
nepMACFLMACFL-14625,0.169,FORK,0.0575,Null,Null,U
nepMACFLMACFL-14626,0.152,FORK,0.0408,Null,Null,U
nepMACFLMACFL-14627,0.151,FORK,0.03872,Null,Null,U
nepMACFLMACFL-14628,0.165,FORK,0.053,Null,Null,U
nepMACFLMACFL-14629,0.159,FORK,0.0493,Null,Null,U
nepMACFLMACFL-14630,0.16,FORK,0.047,Null,Null,U
nepMACFLMACFL-14631,0.161,FORK,0.0483,Null,Null,U
nepMACFLMACFL-14632,0.158,FORK,0.0477,Null,Null,U
nepMACFLMACFL-14633,0.158,FORK,0.0512,Null,Null,U
nepMACFLMACFL-14634,0.185,FORK,0.0829,Null,Null,U
nepMACFLMACFL-14635,0.17,FORK,0.06612,Null,Null,U
nepMACFLMACFL-14636,0.162,FORK,0.0492,Null,Null,U
nepMACFLMACFL-14637,0.183,FORK,0.08,Null,Null,U
nepMACFLMACFL-14638,0.158,FORK,0.0473,Null,Null,U
nepMACFLMACFL-14639,0.168,FORK,0.0628,Null,Null,U
nepMACFLMACFL-14640,0.162,FORK,0.0542,Null,Null,U
nepMACFLMACFL-14641,0.152,FORK,0.0422,Null,Null,U
nepMACFLMACFL-14642,0.152,FORK,0.0468,Null,Null,U
nepMACFLMACFL-14643,0.16,FORK,0.05086,Null,Null,U
nepMACFLMACFL-14644,0.15,FORK,0.0409,Null,Null,U
nepMACFLMACFL-14645,0.15,FORK,0.0405,Null,Null,U
nepMACFLMACFL-14646,0.166,FORK,0.0524,Null,Null,U
nepMACFLMACFL-14647,0.16,FORK,0.0471,Null,Null,U
nepMACFLMACFL-14648,0.173,FORK,0.0525,Null,Null,U
nepMACFLMACFL-14649,0.175,FORK,0.0629,Null,Null,U
nepMACFLMACFL-14650,0.159,FORK,0.0459,Null,Null,U
nepMACFLMACFL-14651,0.162,FORK,0.0557,Null,Null,U
nepMACFLMACFL-14652,0.167,FORK,0.0522,Null,Null,U
nepMACFLMACFL-14653,0.167,FORK,0.05,Null,Null,U
nepMACFLMACFL-14654,0.172,FORK,0.0525,Null,Null,U
nepMACFLMACFL-14655,0.163,FORK,0.0466,Null,Null,U
nepMACFLMACFL-14656,0.161,FORK,0.0462,Null,Null,U
nepMACFLMACFL-14657,0.181,FORK,0.0657,Null,Null,U
nepMACFLMACFL-14658,0.169,FORK,0.0542,Null,Null,U
nepMACFLMACFL-14659,0.156,FORK,0.0419,Null,Null,U
nepMACFLMACFL-14660,0.17,FORK,0.0575,Null,Null,U
nepMACFLMACFL-14661,0.15,FORK,0.036,Null,Null,U
nepMACFLMACFL-14662,0.17,FORK,0.0501,Null,Null,U
nepMACFLMACFL-14663,0.179,FORK,0.0594,Null,Null,U
nepMACFLMACFL-14664,0.155,FORK,0.0431,Null,Null,U
nepMACFLMACFL-14665,0.157,FORK,0.043,Null,Null,U
nepMACFLMACFL-14666,0.157,FORK,0.0444,Null,Null,U
nepMACFLMACFL-14667,0.172,FORK,0.0605,Null,Null,U
nepMACFLMACFL-14668,0.179,FORK,0.0628,Null,Null,U
nepMACFLMACFL-14669,0.168,FORK,0.0503,Null,Null,U
nepMACFLMACFL-14670,0.164,FORK,0.0469,Null,Null,U
nepMACFLMACFL-14671,0.155,FORK,0.0438,Null,Null,U
nepMACFLMACFL-14672,0.159,FORK,0.0462,Null,Null,U
nepMACFLMACFL-14673,0.166,FORK,0.0525,Null,Null,U
nepMACFLMACFL-14674,0.154,FORK,0.0414,Null,Null,U
nepMACFLMACFL-14675,0.176,FORK,0.0618,Null,Null,U
nepMACFLMACFL-14676,0.161,FORK,0.0521,Null,Null,U
nepMACFLMACFL-14677,0.158,FORK,0.0423,Null,Null,U
nepMACFLMACFL-14678,0.175,FORK,0.0683,Null,Null,U
nepMACFLMACFL-14679,0.178,FORK,0.0671,Null,Null,U
nepMACFLMACFL-14680,0.158,FORK,0.0408,Null,Null,U
nepMACFLMACFL-14681,0.159,FORK,0.0439,Null,Null,U
nepMACFLMACFL-14682,0.151,FORK,0.0451,Null,Null,U
nepMACFLMACFL-14683,0.167,FORK,0.0537,Null,Null,U
nepMACFLMACFL-14684,0.15,FORK,0.0412,Null,Null,U
nepMACFLMACFL-14685,0.17,FORK,0.0557,Null,Null,U
nepMACFLMACFL-14686,0.164,FORK,0.0531,Null,Null,U
nepMACFLMACFL-14687,0.167,FORK,0.0492,Null,Null,U
nepMACFLMACFL-14688,0.167,FORK,0.0523,Null,Null,U
nepMACFLMACFL-14689,0.154,FORK,0.0423,Null,Null,U
nepMACFLMACFL-14690,0.158,FORK,0.0448,Null,Null,U
nepMACFLMACFL-14691,0.15,FORK,0.0397,Null,Null,U
nepMACFLMACFL-14692,0.158,FORK,0.0435,Null,Null,U
nepMACFLMACFL-14693,0.155,FORK,0.0436,Null,Null,U
nepMACFLMACFL-14694,0.17,FORK,0.0606,Null,Null,U
nepMACFLMACFL-14695,0.149,FORK,0.0394,Null,Null,U
nepMACFLMACFL-14696,0.19,FORK,0.0813,Null,Null,U
nepMACFLMACFL-14697,0.159,FORK,0.0462,Null,Null,U
nepMACFLMACFL-14698,0.158,FORK,0.0429,Null,Null,U
nepMACFLMACFL-14699,0.145,FORK,0.0364,Null,Null,U
nepMACFLMACFL-14700,0.149,FORK,0.0385,Null,Null,U
nepMACFLMACFL-14701,0.161,FORK,0.0466,Null,Null,U
nepMACFLMACFL-14702,0.152,FORK,0.0376,Null,Null,U
nepMACFLMACFL-14703,0.174,FORK,0.0693,Null,Null,U
nepMACFLMACFL-14704,0.147,FORK,0.037,Null,Null,U
nepMACFLMACFL-14705,0.145,FORK,0.0323,Null,Null,U
nepMACFLMACFL-14706,0.171,FORK,0.0596,Null,Null,U
nepMACFLMACFL-14707,0.164,FORK,0.0537,Null,Null,U
nepMACFLMACFL-14708,0.156,FORK,0.0443,Null,Null,U
nepMACFLMACFL-14709,0.157,FORK,0.045,Null,Null,U
nepMACFLMACFL-14710,0.163,FORK,0.0459,Null,Null,U
nepMACFLMACFL-14711,0.169,FORK,0.0549,Null,Null,U
nepMACFLMACFL-14712,0.166,FORK,0.0484,Null,Null,U
nepMACFLMACFL-14713,0.152,FORK,0.0395,Null,Null,U
nepMACFLMACFL-14714,0.16,FORK,0.052,Null,Null,U
nepMACFLMACFL-14715,0.175,FORK,0.0673,Null,Null,U
nepMACFLMACFL-14716,0.177,FORK,0.0603,Null,Null,U
nepMACFLMACFL-14717,0.152,FORK,0.0387,Null,Null,U
nepMACFLMACFL-14718,0.158,FORK,0.0429,Null,Null,U
nepMACFLMACFL-14719,0.18,FORK,0.0656,Null,Null,U
nepMACFLMACFL-14720,0.163,FORK,0.0498,Null,Null,U
nepMACFLMACFL-14721,0.165,FORK,0.0471,Null,Null,U
nepMACFLMACFL-14722,0.174,FORK,0.0593,Null,Null,U
nepMACFLMACFL-14723,0.176,FORK,0.0614,Null,Null,U
nepMACFLMACFL-14724,0.155,FORK,0.0424,Null,Null,U
nepMACFLMACFL-14725,0.151,FORK,0.0376,Null,Null,U
nepMACFLMACFL-14726,0.151,FORK,0.0375,Null,Null,U
nepMACFLMACFL-14727,0.143,FORK,0.0304,Null,Null,U
nepMACFLMACFL-14728,0.15,FORK,0.0374,Null,Null,U
nepMACFLMACFL-14729,0.145,FORK,0.0341,Null,Null,U
nepMACFLMACFL-14730,0.167,FORK,0.0559,Null,Null,U
nepMACFLMACFL-14731,0.145,FORK,0.0375,Null,Null,U
nepMACFLMACFL-14732,0.144,FORK,0.0327,Null,Null,U
nepMACFLMACFL-14733,0.156,FORK,0.0436,Null,Null,U
nepMACFLMACFL-14734,0.141,FORK,0.031,Null,Null,U
nepMACFLMACFL-14735,0.172,FORK,0.0557,Null,Null,U
nepMACFLMACFL-14736,0.149,FORK,0.0379,Null,Null,U
nepMACFLMACFL-14737,0.153,FORK,0.0412,Null,Null,U
nepMACFLMACFL-14738,0.143,FORK,0.0321,Null,Null,U
nepMACFLMACFL-14739,0.151,FORK,0.0423,Null,Null,U
nepMACFLMACFL-14740,0.178,FORK,0.0659,Null,Null,U
nepMACFLMACFL-14741,0.178,FORK,0.0703,Null,Null,U
nepMACFLMACFL-14742,0.168,FORK,0.0564,Null,Null,U
nepMACFLMACFL-14743,0.145,FORK,0.0338,Null,Null,U
nepMACFLMACFL-14744,0.146,FORK,0.0381,Null,Null,U
nepMACFLMACFL-14745,0.169,FORK,0.0587,Null,Null,U
nepMACFLMACFL-14746,0.159,FORK,0.0436,Null,Null,U
nepMACFLMACFL-14747,0.16,FORK,0.0454,Null,Null,U
nepMACFLMACFL-14748,0.157,FORK,0.0437,Null,Null,U
nepMACFLMACFL-14749,0.15,FORK,0.0387,Null,Null,U
nepMACFLMACFL-14750,0.174,FORK,0.0647,Null,Null,U
nepMACFLMACFL-14751,0.15,FORK,0.0385,Null,Null,U
nepMACFLMACFL-14752,0.145,FORK,0.0323,Null,Null,U
nepMACFLMACFL-14753,0.14,FORK,0.031,Null,Null,U
nepMACFLMACFL-14754,0.143,FORK,0.0312,Null,Null,U
nepMACFLMACFL-14755,0.152,FORK,0.038,Null,Null,U
nepMACFLMACFL-14756,0.161,FORK,0.0454,Null,Null,U
nepMACFLMACFL-14757,0.143,FORK,0.0329,Null,Null,U
nepMACFLMACFL-14758,0.163,FORK,0.0512,Null,Null,U
nepMACFLMACFL-14759,0.17,FORK,0.0564,Null,Null,U
nepMACFLMACFL-14760,0.154,FORK,0.0396,Null,Null,U
nepMACFLMACFL-14761,0.16,FORK,0.0434,Null,Null,U
nepMACFLMACFL-14762,0.16,FORK,0.0444,Null,Null,U
nepMACFLMACFL-14763,0.155,FORK,0.0436,Null,Null,U
nepMACFLMACFL-14764,0.164,FORK,0.0506,Null,Null,U
nepMACFLMACFL-14765,0.143,FORK,0.0333,Null,Null,U
nepMACFLMACFL-14766,0.148,FORK,0.0358,Null,Null,U
nepMACFLMACFL-14767,0.149,FORK,0.0371,Null,Null,U
nepMACFLMACFL-14768,0.147,FORK,0.0349,Null,Null,U
nepMACFLMACFL-14769,0.15,FORK,0.0357,Null,Null,U
nepMACFLMACFL-14770,0.16,FORK,0.0447,Null,Null,U
nepMACFLMACFL-14771,0.153,FORK,0.042,Null,Null,U
nepMACFLMACFL-14772,0.144,FORK,0.0317,Null,Null,U
nepMACFLMACFL-14773,0.179,FORK,0.0563,Null,Null,U
nepMACFLMACFL-14774,0.153,FORK,0.0367,Null,Null,U
nepMACFLMACFL-14775,0.15,FORK,0.0356,Null,Null,U
nepMACFLMACFL-14776,0.152,FORK,0.0413,Null,Null,U
nepMACFLMACFL-14777,0.155,FORK,0.0437,Null,Null,U
nepMACFLMACFL-14778,0.15,FORK,0.0384,Null,Null,U
nepMACFLMACFL-14779,0.141,FORK,0.0319,Null,Null,U
nepMACFLMACFL-14780,0.143,FORK,0.031,Null,Null,U
nepMACFLMACFL-14781,0.168,FORK,0.0549,Null,Null,U
nepMACFLMACFL-14782,0.144,FORK,0.0351,Null,Null,U
nepMACFLMACFL-14783,0.152,FORK,0.0391,Null,Null,U
nepMACFLMACFL-14784,0.166,FORK,0.0515,Null,Null,U
nepMACFLMACFL-14785,0.151,FORK,0.0386,Null,Null,U
nepMACFLMACFL-14786,0.143,FORK,0.0388,Null,Null,U
nepMACFLMACFL-14787,0.141,FORK,0.0331,Null,Null,U
nepMACFLMACFL-14788,0.161,FORK,0.0498,Null,Null,U
nepMACFLMACFL-14789,0.152,FORK,0.0391,Null,Null,U
nepMACFLMACFL-14790,0.151,FORK,0.0377,Null,Null,U
nepMACFLMACFL-14791,0.14,FORK,0.0317,Null,Null,U
nepMACFLMACFL-14792,0.162,FORK,0.0503,Null,Null,U
